symbol	chr	genesequenceid	proteinsequenceid	chromosequenceid	mrnasequenceid	hgncid	ncbiid	ensemblid	pharmgkbid	frequencymethods	lookupmethod	version	notesondiplotype	url	functionmethods	notesonallelenaming	includephenotypefrequencies	includediplotypefrequencies
ABCG2	chr4	NG_032067.2	NP_001335914.1	NC_000004.12	NM_004827.3	HGNC:74	9429	ENSG00000118777	PA390	Methods\n\nThe allele frequency table was made by searching the Genome Aggregation Database (gnomAD) and 1000 Genomes phase 3 data by rsID. In addition, pubmed were also searched to include frequencies for certain biogeographical groups (eg. Oceanian and American).\n\nCaveats to estimated allele, frequencies:\n\nSampling. Allele frequencies collected by CPIC for the supplemental tables are based on published literature reports which typically study small groups of people based on a geographic location (e.g. Malaysia, Berlin, Cairo). Almost no studies use genetic markers to estimate ancestry. Manuscripts are often focused on a specific phenotype (e.g. disease) or study only individuals taking a particular drug. Such samples would not be considered a random sample of the general population. Another consideration is that sample size is important, and PGx studies are typically not large. The frequencies collected from these studies are then used to estimate general estimates of entire ethnic population allele frequencies. Therefore, frequencies from larger groups of subjects and frequencies averaged from many sample populations probably result in better estimates.\n\nBiogeographical groups. Biogeographical groups are derived from PMID 30506572. Further details, including the definitions of each group, can be found at https://www.pharmgkb.org/page/biogeographicalGroups. We strongly recommend that users use either the publication or the PharmGKB link provided to familiarize themselves with the grouping system before using these allele frequencies. These tables group individuals from particular geographic locations into larger biogeographical groups. It is difficult to group populations with certainty, because some populations are often admixed, or at the least, a combination of different ethnicities. Therefore, the margin of error is increased when different subpopulations are grouped together.	PHENOTYPE	322	\N	https://cpicpgx.org/gene/abcg2/	\N	\N	t	t
ACYP2	\N	\N	\N	\N	\N	HGNC:180	98	ENSG00000170634	PA24500	\N	PHENOTYPE	81	\N	\N	\N	\N	t	t
UMPS	chr3	NG_017037	NP_000364	\N	\N	HGNC:12563	7372	ENSG00000114491	PA363	\N	PHENOTYPE	107	\N	\N	\N	\N	t	t
CFTR	chr7	NG_016465.4	NP_000483.3	NC_000007.14	NM_000069.2	HGNC:1884	1080	ENSG00000001626	PA109	\N	PHENOTYPE	317	\N	https://cpicpgx.org/gene/cftr/	\N	Legacy Name/Class	t	t
UGT1A1	chr2	NG_002601.2	NP_000454.1	NC_000002.12	NM_000540.2	HGNC:12530	54658	ENSG00000241635	PA420	Methods\n\nThe allele frequency table was made by searching the PubMed® database (1995 to 2015). Allele frequencies reported in phase 3 1000 Genomes were also included (http://browser.1000genomes.org/index.html).\n\nCaveats to estimated allele, diplotype and phenotype frequencies:\n\nSampling. Allele frequencies collected by CPIC for the supplemental tables are based on published literature reports which typically study small groups of people based on a geographic location (e.g. Malaysia, Berlin, Cairo). Almost no studies use genetic markers to estimate ancestry. Manuscripts are often focused on a specific phenotype (e.g. disease) or study only individuals taking a particular drug. Such samples would not be considered a random sample of the general population. Another consideration is that sample size is important, and PGx studies are typically not large. The frequencies collected from these studies are then used to estimate general estimates of entire ethnic population allele frequencies. Therefore, frequencies from larger groups of subjects and frequencies averaged from many sample populations probably result in better estimates.\n\nEstimation of *1 frequency. In general, there are no population studies that test for all known variant alleles. Because *1 is not genotyped directly in many studies, all alleles that are negative for a sequence variation are defaulted to a *1 assignment. Because UGT1A1*1 is not genotyped directly, all alleles that are negative for a sequence variation are defaulted to a UGT1A1*1 assignment. Likewise, sequence variations of alleles that are not tested may default to a UGT1A1*1 assignment and hence contribute to the frequencies reported for this allele. Therefore, the inferred frequency for UGT1A1*1 was calculated as an average from studies describing allele frequencies for the most common alleles found in a particular biogeographical group.\n\nBiogeographical groups. Biogeographical groups are derived from PMID 30506572. Further details can be found at https://www.pharmgkb.org/page/biogeographicalGroups. These tables group individuals from particular geographic locations into larger biogeographical groups. It is difficult to group populations with certainty, because some populations are often admixed, or at the least, a combination of different ethnicities. Therefore, the margin of error is increased when different subpopulations are grouped together.	PHENOTYPE	415	\N	https://cpicpgx.org/gene/ugt1a1/	\N	Nucleotide changes from the UGT nomenclature page: https://www.pharmacogenomics.pha.ulaval.ca/wp-content/uploads/2015/04/UGT1A1-allele-nomenclature.html	f	f
CYP2C9	chr10	NG_008385.2	NP_000762.2	NC_000010.11	NM_000069.2	HGNC:2623	1559	ENSG00000138109	PA126	Methods\n\nThe allele frequency table was made by searching the PubMed® database (1995 to July 2019). The following criteria were used for CYP2C9: (CYP2C9 or 2C9 or cytochrome P4502C9) AND (genotype OR allele OR frequency OR minor allele OR variant OR ethnic OR race OR racial OR ethnicity OR population) with filter limits set to retrieve "full-text" and "English" literature. In addition, reports were also identified from citations by others or review articles. Studies were considered for inclusion in the CYP2C9 frequency table if: (1) the ethnicity of the population was clearly indicated, (2) either allele frequencies or genotype frequencies were reported, (3) the method by which the genes were genotyped was indicated, (4) the sample population consisted of at least 50 individuals with a few exceptions (e.g., smaller cohorts that were part of larger studies) and (5) the study represented an original publication (no reviews or meta-analyses). Allele frequencies reported in and gnomD browser and phase 3 1000 Genomes were also included (https://gnomad.broadinstitute.org/, http://browser.1000genomes.org/index.html) for alleles that contain single unique variant.\n\nDiplotype and Phenotype Calculations. Diplotype and phenotype frequencies were estimated using the equation describing Hardy Weinberg equilibrium based on reported allele frequencies.\n\nCaveats to estimated allele, diplotype and phenotype frequencies:\n\nSampling. Allele frequencies collected by CPIC for the supplemental tables are based on published literature reports which typically study small groups of people based on a geographic location (e.g. Malaysia, Berlin, Cairo). Almost no studies use genetic markers to estimate ancestry. Manuscripts are often focused on a specific phenotype (e.g. disease) or study only individuals taking a particular drug. Such samples would not be considered a random sample of the general population. Another consideration is that sample size is important, and PGx studies are typically not large. The frequencies collected from these studies are then used to estimate general estimates of entire ethnic population allele frequencies. Therefore, frequencies from larger groups of subjects and frequencies averaged from many sample populations probably result in better estimates.\n\nEstimation of *1 frequency. In general, there are no population studies that test for all known variant alleles. Because *1 is not genotyped directly in many studies, all alleles that are negative for a sequence variation are defaulted to a *1 assignment. Because CYP2C9*1 is not genotyped directly, all alleles that are negative for a sequence variation are defaulted to a CYP2C9*1 assignment. Likewise, sequence variations of alleles that are not tested may default to a CYP2C9*1 assignment and hence contribute to the frequencies reported for this allele. Therefore, the inferred frequency for CYP2C9*1 was calculated as an average from studies describing allele frequencies for the most common alleles found in a particular biogeographical group.\n\nDiplotype/Phenotype frequency estimates. When calculating diplotype frequencies from these allele frequencies, the margin of error is compounded based on the margin of error on each allele in the diplotype. So, the margin of error will necessarily increase for diplotype frequency estimates compared to allele frequency estimates. For allele frequencies with already large margins of error due to small and non-random sampling, the diplotype margin of error could potentially be quite large. On the other hand, for well-studied alleles, the margin of error is likely low.\n\nBiogeographical groups. Biogeographical groups are derived from PMID 30506572. Further details can be found at https://www.pharmgkb.org/page/biogeographicalGroups. These tables group individuals from particular geographic locations into larger biogeographical groups. It is difficult to group populations with certainty, because some populations are often admixed, or at the least, a combination of different ethnicities. Therefore, the margin of error is increased when different subpopulations are grouped together.	ACTIVITY_SCORE	426	CYP2C9 diplotype to phenotype translation is not applicable to the warfarin guideline.	https://cpicpgx.org/gene/cyp2c9/	Methods:\nThe PubMed and PharmGKB databases were searched for the following keywords: (CYP2C9 OR cytochrome p450 2c9)AND [genomic identifiers (e.g. dbSNP rs number, star alleles, additional common names)] AND English [Language]. Study inclusion criteria included publications that incorporated analyses for the association between CYP2C9 genotype and drug pharmacokinetic parameters, clinical outcomes, or allele function.	Legacy Name/Class	t	t
VDR	chr12	NG_008731	NP_000367	\N	\N	HGNC:12679	7421	ENSG00000111424	PA37301	\N	PHENOTYPE	107	\N	\N	\N	\N	t	t
CYP2D6	chr22	NG_008376.4	NP_000097.3	NC_000022.11	NM_000069.2	HGNC:2625	1565	ENSG00000100197	PA128	Methods:\n\nThe CYP2D6 allele frequency tables (CYP2D6 frequency table; link to PharmGKB) are updates of those previously published in CPIC guidelines (PMID: 25974703, 24458010). Updates to the CYP2D6 allele frequency tables were made by searching the PubMed® database (1995 to 2018). The following criteria were used for CYP2D6: (CYP2D6 or 2D6 or cytochrome P4502D6) AND (genotype OR allele OR frequency OR minor allele OR variant OR ethnic OR race OR racial OR ethnicity) with filter limits set to retrieve "full-text" and "English" literature. In addition, reports were also identified from citations by others or review articles. Studies were considered for inclusion in the CYP2D6 frequency table if: (1) the ethnicity of the population was clearly indicated, (2) either allele frequencies or genotype frequencies were reported, (3) the method by which the genes were genotyped was indicated, (4) the sample population consisted of at least 50 individuals with a few exceptions (e.g., smaller cohorts that were part of larger studies) and (5) the study represented an original publication (no reviews or meta-analyses).\nDiplotype and phenotype frequencies were estimated using the equation describing Hardy Weinberg equilibrium based on reported allele frequencies. Because the frequencies for each allele are averages from all studies for that population, allele frequencies may not add up to100%. To account for this in diplotype and phenotype frequencies calculations, *1 frequency was calculated as 1 - sum (non *1 allele frequency).\n\n\nCaveats to estimated allele, diplotype and phenotype frequencies:\n\nSampling. Allele frequencies collected by CPIC for the supplemental tables are based on published literature reports which typically study small groups of people based on a geographic location (e.g. Malaysia, Berlin, Cairo). Almost no studies use genetic markers to estimate ancestry. Manuscripts are often focused on a specific phenotype (e.g. disease) or study only individuals taking a particular drug. Such samples would not be considered a random sample of the general population. Another consideration is that sample size is important, and PGx studies are typically not large. The frequencies collected from these studies are then used to estimate general estimates of entire ethnic population allele frequencies. Therefore, frequencies from larger groups of subjects and frequencies averaged from many sample populations probably result in better estimates.\n\nEstimation of *1 frequency. In general, there are no population studies that test for all known variant alleles. Because CYP2D6*1 is not genotyped directly, all alleles that are negative for a sequence variation are defaulted to a CYP2D6*1 assignment. Likewise, sequence variations of alleles that are not tested may default to a CYP2D6*1 assignment and hence contribute to the frequencies reported for this allele. Therefore, the inferred frequency for CYP2D6*1 was calculated as an average from studies describing allele frequencies for the most common alleles found in a particular ethnic group.\n\nDiplotype/Phenotype frequency estimates. When calculating diplotype frequencies from these allele frequencies, the margin of error is compounded based on the margin of error on each allele in the diplotype. So, the margin of error will necessarily increase for diplotype frequency estimates compared to allele frequency estimates. For allele frequencies with already large margins of error due to small and non-random sampling, the diplotype margin of error could potentially be quite large. On the other hand, for well-studied alleles, the margin of error is likely low.\n\nBiogeographical groups. Biogeographical groups are derived from PMID 30506572. Further details, including the definitions of each group, can be found at https://www.pharmgkb.org/page/biogeographicalGroups. We strongly recommend that users use either the publication or the PharmGKB link provided to familiarize themselves with the grouping system before using these allele frequencies. These tables group individuals from particular geographic locations into larger biogeographical groups. It is difficult to group populations with certainty, because some populations are often admixed, or at the least, a combination of different ethnicities. Therefore, the margin of error is increased when different subpopulations are grouped together.\n\nOverestimation of allele frequencies. CYP2D6*2 is a 'default' assignment and, unless tested and discriminated for CYP2D6*8, *11, *17, *35,*41 and other variants, will default to a CYP2D6*2 assignment. The frequencies shown here may therefore be over-estimated. CYP2D6*10 is a 'default' assignment and, unless tested and discriminated for, CYP2D6*14 and *36 and other variants, will default to a CYP2D6*10 assignment. The frequencies shown here may therefore be over-estimated. CYP2D6*17 is a 'default' assignment and, unless tested and discriminated for, CYP2D6*40 and *58 will default to a CYP2D6*17 assignment. The frequencies shown here may therefore be over-estimated. CYP2D6*41 has not consistently been determined by its defining SNP (2988G>A) across studies; some platforms still use the -1584C>G SNP to discriminate between CYP2D6*2 and *41. This may lead to an overestimation of the CYP2D6*41 frequency, especially in those of African ancestry.\n\nCNV alleles. Many studies do not specify the exact copy number of duplicated alleles found in their study population and instead report the total frequency of observed CNVs as "xN". Where possible, these frequencies have been included in the CNV column for that allele (e.g. *1xN frequencies are included in the *1x2 column, *4xN frequencies are included in the *4x2 column). Users should be aware that this will lead to an overestimation of the frequency of that exact copy number in the population.	ACTIVITY_SCORE	421	\N	https://cpicpgx.org/gene/cyp2d6/	\N	Legacy Name/Class	t	t
HLA-B	chr6	NG_002397	NP_005505	\N	\N	HGNC:4932	3106	ENSG00000234745	PA35056	Methods\n\nThe allele frequency table was made by searching the PubMed® database (1995 to September 2019). The following criteria were used for HLA-B: (HLA-B) AND (allele OR frequency). In addition, reports were also identified from citations by others or review articles. Studies were considered for inclusion in the HLA-B frequency table if: (1) the ethnicity of the population was clearly indicated, (2) either allele frequencies or genotype frequencies were reported, (3) the method by which the genes were genotyped was indicated, (4) the sample population consisted of at least 50 individuals with a few exceptions (e.g., smaller cohorts that were part of larger studies) and (5) the study represented an original publication (no reviews or meta-analyses). Allele frequencies reported in phase 3 1000 Genomes (http://browser.1000genomes.org/index.html) and from allelefrequencies.net (https://www.allelefrequencies.net) were also included .\nCaveats to estimated allele, diplotype and phenotype frequencies:\n\nSampling. Allele frequencies collected by CPIC for the supplemental tables are based on published literature reports which typically study small groups of people based on a geographic location (e.g. Malaysia, Berlin, Cairo). Almost no studies use genetic markers to estimate ancestry. Manuscripts are often focused on a specific phenotype (e.g. disease) or study only individuals taking a particular drug. Such samples would not be considered a random sample of the general population. Another consideration is that sample size is important, and PGx studies are typically not large. The frequencies collected from these studies are then used to estimate general estimates of entire ethnic population allele frequencies. Therefore, frequencies from larger groups of subjects and frequencies averaged from many sample populations probably result in better estimates.\n\nBiogeographical groups. Biogeographical groups are derived from PMID 30506572. Further details, including the definitions of each group, can be found at https://www.pharmgkb.org/page/biogeographicalGroups. We strongly recommend that users use either the publication or the PharmGKB link provided to familiarize themselves with the grouping system before using these allele frequencies. These tables group individuals from particular geographic locations into larger biogeographical groups. It is difficult to group populations with certainty, because some populations are often admixed, or at the least, a combination of different ethnicities. Therefore, the margin of error is increased when different subpopulations are grouped together.	ALLELE_STATUS	211	\N	https://cpicpgx.org/gene/hla/	\N	\N	f	f
COMT	chr22	NG_011526	NP_000745	\N	\N	HGNC:2228	1312	ENSG00000093010	PA117	\N	PHENOTYPE	101	\N	https://cpicpgx.org/gene/comt/	\N	\N	t	t
CYP2C8	chr10	NG_007972	NP_000761	\N	\N	HGNC:2622	1558	ENSG00000138115	PA125	\N	PHENOTYPE	107	\N	\N	\N	\N	t	t
CYP3A4	chr7	NG_000004	NP_059488	\N	\N	HGNC:2637	1576	ENSG00000160868	PA130	\N	PHENOTYPE	107	\N	\N	\N	\N	t	t
EPHX1	chr1	NG_009776	NP_000111	\N	\N	HGNC:3401	2052	ENSG00000143819	PA27829	\N	PHENOTYPE	107	\N	\N	\N	\N	t	t
GGCX	chr2	NG_011811	NP_000812	\N	\N	HGNC:4247	2677	ENSG00000115486	PA28660	\N	PHENOTYPE	107	\N	\N	\N	\N	t	t
GP1BA	chr17	NG_008767	NP_000164	\N	\N	HGNC:4439	2811	ENSG00000185245	PA178	\N	PHENOTYPE	107	\N	\N	\N	\N	t	t
GSTP1	chr11	NG_012075	NP_000843	\N	\N	HGNC:4638	2950	ENSG00000084207	PA29028	\N	PHENOTYPE	107	\N	\N	\N	\N	t	t
HTR2A	chr13	NG_013011	NP_000612	\N	\N	HGNC:5293	3356	ENSG00000102468	PA193	\N	PHENOTYPE	107	\N	\N	\N	\N	t	t
MTHFR	chr1	NG_013351	NP_005948	\N	\N	HGNC:7436	4524	ENSG00000177000	PA245	\N	PHENOTYPE	107	\N	\N	\N	\N	t	t
NQO1	chr16	NG_011504	NP_000894	\N	\N	HGNC:2874	1728	ENSG00000181019	PA31744	\N	PHENOTYPE	107	\N	\N	\N	\N	t	t
PROC	chr2	NG_016323	NP_000303	\N	\N	HGNC:9451	5624	ENSG00000115718	PA33799	\N	PHENOTYPE	107	\N	\N	\N	\N	t	t
PROS1	chr3	NG_009813	NP_000304	\N	\N	HGNC:9456	5627	ENSG00000184500	PA33809	\N	PHENOTYPE	107	\N	\N	\N	\N	t	t
SCN1A	chr2	NG_011906	NP_008851	\N	\N	HGNC:10585	6323	ENSG00000144285	PA301	\N	PHENOTYPE	107	\N	\N	\N	\N	t	t
SLC6A4	chr17	NG_011747	NP_001036	\N	\N	HGNC:11050	6532	ENSG00000108576	PA312	\N	PHENOTYPE	107	\N	\N	\N	\N	t	t
CYP3A5	chr7	NG_007938.2	NP_000768.1	NC_000007.14	NM_000069.2	HGNC:2638	1577	ENSG00000106258	PA131	Methods\n\nThe allele frequency table was made by searching the PubMed® database (1995 to 2014).\n\nDiplotype and Phenotype Calculations. Diplotype and phenotype frequencies were estimated using the equation describing Hardy Weinberg equilibrium based on reported allele frequencies.\n\nCaveats to estimated allele frequencies:\n\nSampling. Allele frequencies collected by CPIC for the supplemental tables are based on published literature reports which typically study small groups of people based on a geographic location (e.g. Malaysia, Berlin, Cairo). Almost no studies use genetic markers to estimate ancestry. Manuscripts are often focused on a specific phenotype (e.g. disease) or study only individuals taking a particular drug. Such samples would not be considered a random sample of the general population. Another consideration is that sample size is important, and PGx studies are typically not large. The frequencies collected from these studies are then used to estimate general estimates of entire ethnic population allele frequencies. Therefore, frequencies from larger groups of subjects and frequencies averaged from many sample populations probably result in better estimates.\n\nEstimation of *1 frequency. In general, there are no population studies that test for all known variant alleles. Because *1 is not genotyped directly in many studies, all alleles that are negative for a sequence variation are defaulted to a *1 assignment. Because CYP3A5*1 is not genotyped directly, all alleles that are negative for a sequence variation are defaulted to a CYP3A5*1 assignment. Likewise, sequence variations of alleles that are not tested may default to a CYP3A5*1 assignment and hence contribute to the frequencies reported for this allele. Therefore, the inferred frequency for CYP3A5*1 was calculated as an average from studies describing allele frequencies for the most common alleles found in a particular biogeographical group.\n\nDiplotype/Phenotype frequency estimates. Diplotype and phenotype frequencies were estimated using the equation describing Hardy Weinberg equilibrium based on reported allele frequencies. When calculating diplotype frequencies from these allele frequencies, the margin of error is compounded based on the margin of error on each allele in the diplotype. So, the margin of error will necessarily increase for diplotype frequency estimates compared to allele frequency estimates. For allele frequencies with already large margins of error due to small and non-random sampling, the diplotype margin of error could potentially be quite large. On the other hand, for well-studied alleles, the margin of error is likely low.\n\nBiogeographical groups. Biogeographical groups are derived from PMID 30506572. Further details, including the definitions of each group, can be found at https://www.pharmgkb.org/page/biogeographicalGroups. We strongly recommend that users use either the publication or the PharmGKB link provided to familiarize themselves with the grouping system before using these allele frequencies. These tables group individuals from particular geographic locations into larger biogeographical groups. It is difficult to group populations with certainty, because some populations are often admixed, or at the least, a combination of different ethnicities. Therefore, the margin of error is increased when different subpopulations are grouped together.\n	PHENOTYPE	420	\N	https://cpicpgx.org/gene/cyp3a5/	\N	Legacy Name/Class	t	t
SLCO1B1	chr12	NG_011745.1	NP_006437.3	NC_000012.12	NM_000540.2	HGNC:10959	10599	ENSG00000134538	PA134865839	Methods\n\nThe allele frequency table was made by searching the PubMed® database (1995 to 2021).\n\nCaveats to estimated allele frequencies:\n\nSampling. Allele frequencies collected by CPIC for the supplemental tables are based on published literature reports which typically study small groups of people based on a geographic location (e.g. Malaysia, Berlin, Cairo). Almost no studies use genetic markers to estimate ancestry. Manuscripts are often focused on a specific phenotype (e.g. disease) or study only individuals taking a particular drug. Such samples would not be considered a random sample of the general population. Another consideration is that sample size is important, and PGx studies are typically not large. The frequencies collected from these studies are then used to estimate general estimates of entire ethnic population allele frequencies. Therefore, frequencies from larger groups of subjects and frequencies averaged from many sample populations probably result in better estimates.\n\nBiogeographical groups. Biogeographical groups are derived from PMID 30506572. Further details can be found at https://www.pharmgkb.org/page/biogeographicalGroups. These tables group individuals from particular geographic locations into larger biogeographical groups. It is difficult to group populations with certainty, because some populations are often admixed, or at the least, a combination of different ethnicities. Therefore, the margin of error is increased when different subpopulations are grouped together.	PHENOTYPE	413	\N	https://cpicpgx.org/gene/slco1b1/	\N	Common name	t	t
CYP2C19	chr10	NG_008384.3	NP_000760.1	NC_000010.11	NM_000069.2	HGNC:2621	1557	ENSG00000165841	PA124	Methods:\nThe CYP2C19 frequency table includes updates of those previously published in CPIC guidelines. Updates to the CYP2C19 frequency tables were made by searching the PubMed® database (1995 to 2015). The following criteria were used for CYP2C19: (CYP2C19 or 2C19 or cytochrome P4502C19) AND (genotype OR allele OR frequency OR minor allele OR variant OR ethnic OR race OR racial OR ethnicity) with filter limits set to retrieve "full-text" and "English" literature. In addition, reports were also identified from citations by others or review articles. Studies were considered for inclusion in the CYP2C19 frequency table if: (1) the ethnicity of the population was clearly indicated, (2) either allele frequencies or genotype frequencies were reported, (3) the method by which the genes were genotyped was indicated, (4) the sample population consisted of at least 50 individuals with a few exceptions (e.g., smaller cohorts that were part of larger studies) and (5) the study represented an original publication (no reviews or meta-analyses). Diplotype and phenotype frequencies were estimated using the equation describing Hardy Weinberg equilibrium based on reported allele frequencies.\n\nDiplotype and Phenotype Calculations. Diplotype and phenotype frequencies were estimated using the equation describing Hardy Weinberg equilibrium based on reported allele frequencies.\n\nCaveats to estimated allele, diplotype and phenotype frequencies:\n\nSampling. Allele frequencies collected by CPIC for the supplemental tables are based on published literature reports which typically study small groups of people based on a geographic location (e.g. Malaysia, Berlin, Cairo). Almost no studies use genetic markers to estimate ancestry. Manuscripts are often focused on a specific phenotype (e.g. disease) or study only individuals taking a particular drug. Such samples would not be considered a random sample of the general population. Another consideration is that sample size is important, and PGx studies are typically not large. The frequencies collected from these studies are then used to estimate general estimates of entire ethnic population allele frequencies. Therefore, frequencies from larger groups of subjects and frequencies averaged from many sample populations probably result in better estimates.\n\nEstimation of *1 frequency. In general, there are no population studies that test for all known variant alleles. Because *1 is not genotyped directly in many studies, all alleles that are negative for a sequence variation are defaulted to a *1 assignment. The inferred frequency for *1 is estimated as: 100 - (sum of averaged variant allele frequencies). For genes where many alleles are not tested for in any population, and frequency of 'common' alleles is not well documented in many understudied populations (Oceanian, Central/South Asian, Latino), the *1 frequency will deviate even more from true values.\n\nDiplotype/Phenotype frequency estimates. Diplotype and phenotype frequencies were estimated using the equation describing Hardy Weinberg equilibrium based on reported allele frequencies. When calculating diplotype frequencies from these allele frequencies, the margin of error is compounded based on the margin of error on each allele in the diplotype. So, the margin of error will necessarily increase for diplotype frequency estimates compared to allele frequency estimates. For allele frequencies with already large margins of error due to small and non-random sampling, the diplotype margin of error could potentially be quite large. On the other hand, for well-studied alleles, the margin of error is likely low.\n\nBiogeographical groups. Biogeographical groups are derived from PMID 30506572. Further details, including the definitions of each group, can be found at https://www.pharmgkb.org/page/biogeographicalGroups. We strongly recommend that users use either the publication or the PharmGKB link provided to familiarize themselves with the grouping system before using these allele frequencies. These tables group individuals from particular geographic locations into larger biogeographical groups. It is difficult to group populations with certainty, because some populations are often admixed, or at the least, a combination of different ethnicities. Therefore, the margin of error is increased when different subpopulations are grouped together.	PHENOTYPE	424	\N	https://cpicpgx.org/gene/cyp2c19/	\N	Legacy Name/Class	t	t
IFNL3	chr19	NG_042193.1	NP_000101.2	NC_000019.10	NM_001042351.2	HGNC:18365	282617	ENSG00000197110	PA134952671	\N	ALLELE_STATUS	222	\N	https://cpicpgx.org/gene/ifnl/	\N	Common Name	t	t
G6PD	chrX	NG_009015.2	NP_000101.2	NC_000023.11	NM_001042351.2	HGNC:4057	2539	ENSG00000160211	PA28469	Methods\n\nThe allele frequency table was made by searching the gnomAD database.\n\nBiogeographical groups. Biogeographical groups are derived from PMID 30506572. Further details can be found at https://www.pharmgkb.org/page/biogeographicalGroups. These tables group individuals from particular geographic locations into larger biogeographical groups. It is difficult to group populations with certainty, because some populations are often admixed, or at the least, a combination of different ethnicities. Therefore, the margin of error is increased when different subpopulations are grouped together.\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n	PHENOTYPE	369	\N	https://cpicpgx.org/gene/g6pd/	\N	Legacy Name/Class	f	f
TPMT	chr6	NG_012137.2	NP_000358.1	NC_000006.12	NM_000540.2	HGNC:12014	7172	ENSG00000137364	PA356	The allele frequency table was made by searching the PubMed® database (no start date to 1/2018). Allele frequencies reported in the gnomAD browser (http://gnomad.broadinstitute.org/ - exomes and genomes) and ensembl (grch37.ensembl.org - exomes or genomes) were also included. URLs are included in the "PMID" column.\n\nDiplotype and Phenotype Calculations. Diplotype and phenotype frequencies were estimated using the equation describing Hardy Weinberg equilibrium based on reported allele frequencies.\n\nCaveats to estimated allele, diplotype and phenotype frequencies:\n\nSampling. Allele frequencies collected by CPIC for the supplemental tables are based on published literature reports which typically study small groups of people based on a geographic location (e.g. Malaysia, Berlin, Cairo). Almost no studies use genetic markers to estimate ancestry. Manuscripts are often focused on a specific phenotype (e.g. disease) or study only individuals taking a particular drug. Such samples would not be considered a random sample of the general population. Another consideration is that sample size is important, and PGx studies are typically not large. The frequencies collected from these studies are then used to estimate general estimates of entire ethnic population allele frequencies. Therefore, frequencies from larger groups of subjects and frequencies averaged from many sample populations probably result in better estimates.\n\nEstimation of *1 frequency. In general, there are no population studies that test for all known variant alleles. Because *1 is not genotyped directly in many studies, all alleles that are negative for a sequence variation are defaulted to a *1 assignment. The inferred frequency for *1 is estimated as: 100 - (sum of averaged variant allele frequencies). For genes where many alleles are not tested for in any population, and frequency of 'common' alleles is not well documented in many understudied populations (Oceania, South Asian, Latino), the *1 frequency will deviate even more from true values.\n\nDiplotype/Phenotype frequency estimates. Diplotype and phenotype frequencies were estimated using the equation describing Hardy Weinberg equilibrium based on reported allele frequencies. When calculating diplotype frequencies from these allele frequencies, the margin of error is compounded based on the margin of error on each allele in the diplotype. So, the margin of error will necessarily increase for diplotype frequency estimates compared to allele frequency estimates. For allele frequencies with already large margins of error due to small and non-random sampling, the diplotype margin of error could potentially be quite large. On the other hand, for well-studied alleles, the margin of error is likely low.\n\nBiogeographical groups. Biogeographical groups are derived from PMID 30506572. Further details can be found at https://www.pharmgkb.org/page/biogeographicalGroups. These tables group individuals from particular geographic locations into larger biogeographical groups. It is difficult to group populations with certainty, because some populations are often admixed, or at the least, a combination of different ethnicities. Therefore, the margin of error is increased when different subpopulations are grouped together.	PHENOTYPE	413	\N	https://cpicpgx.org/gene/tpmt/	\N	Nucleotide change on cDNA from https://liu.se/en/research/tpmt-nomenclature-committee	t	t
